Tweet content,Latitude,Longitude,sentiment
"Getting set for my Spring Wine Stroll appearance! (at @AlignedModern Health in Chicago, IL) https://t.co/4Uo1Nslnel",41.9647707,-87.6858575,0.0
"Can you recommend anyone for this #job? Center Store Associate - https://t.co/40W8JEvmmx #SLIDELL, LA #Retail #Hiring",30.3092286,-89.7472599,-0.1
"CVS Health #Healthcare #Job: Pharmacy Technician (#Merchantville, NJ) https://t.co/kBrRfAuue0 #Jobs #Hiring #CareerArc",39.9503838,-75.04797259999998,0.0
"Can you recommend anyone for this #Manufacturing #job? https://t.co/LILR6wIwJD #KellyJobs #KellyServices #Chandler, AZ #Hiring #CareerArc",33.3061605,-111.8412502,0.0
"See our latest #Gulfport, MS #job and click to apply: Management Career Fair - March 30 &amp; 31, 2016 - https://t.co/WgColVxytt #Retail",30.367419800000004,-89.0928155,0.6
"This moment, when #spotify (a.k.a. Robot) suggests Arvo Pärtfor fo'… https://t.co/AljonXSnoy",41.8868,-87.62681000000002,0.0
"Graffiti Tracking: 6020 Ball Rd, Buena Park, CA 90620",33.81580332,-118.02552989,0.0
"Interested in a #SkilledTrade #job near #CranberryTownship, PA? This could be a great fit: https://t.co/ElzcTL0GlY #Hiring #CareerArc",41.3495288,-79.7575839,0.38749999999999996
A little lunch time practice so I can say I practiced before a tournament! 😜#chehawlife… https://t.co/B0CMipt76o,31.62606833,-84.13468038000002,-0.234375
Incident on #I90NYSThruway WB at 1.24 after Exit 47 (I-90) - Rochester - LeRoy (I-490 - Rte 19) https://t.co/YZm2IcMZo3,43.02962,-77.98903799999998,0.0
Incident on #I90NYSThruway WB at 1.24 after Exit 47 (I-90) - Rochester - LeRoy (I-490 - Rte 19) https://t.co/DWmhmTJiKG,43.02962,-77.98903799999998,0.0
"Retail Senior Sales Consultant Technology - Office Depot: (#Eastpointe, MI) https://t.co/OOO52PkeJH #Retail #Veterans #Job #Jobs #Hiring",42.4683698,-82.95547459999997,-0.75
Cleared: Incident on #I90NYSThruway WB at 1.24 after Exit 47 (I-90) - Rochester - LeRoy (I-490 - Rte 19),43.02962,-77.98903799999998,0.0
Cleared: Incident on #I90NYSThruway WB at 1.24 after Exit 47 (I-90) - Rochester - LeRoy (I-490 - Rte 19),43.02962,-77.98903799999998,0.0
"#Transportation #Job in #Corbin, KY: Truck Driver, Class A - Full Time at Ryder https://t.co/b78YUxBJdm #Jobs #Hiring",36.9486986,-84.09687609999997,0.35
"#Newton, MA #Job: Pediatric Home Care - Trach / Vent - Newton at BAYADA Home Health Care https://t.co/78jBHYXUNr #Jobs #Hiring",42.3370413,-71.2092214,0.0
COMING SOON! #glitter #mug #etsyshop #etsyseller #etsygifts #etsystore #gifts #giftideas… https://t.co/GDkuwg0Fkn,40.7142,-74.0064,0.0
"Sterling Jewelers #Retail #Job: Sales Associate (#Boise, ID) https://t.co/UmSFXtnGLK #Jobs #Hiring #CareerArc",43.6069784,-116.2824763,0.0
"Join the Sterling Jewelers team! See our latest #Retail #job opening here: https://t.co/p1GDYMUKJq #Voorhees, NJ #Hiring #CareerArc",39.8494917,-75.0027522,0.5
"Burns &amp; McDonnell #Engineering #Job: Staff Civil/Structural Engineer (#Brea, CA) https://t.co/isfJMtHE9j #Jobs #Hiring #CareerArc",33.9268623,-117.877524,0.0
"This #HealthWelfare #job might be a great fit for you: Wellness Partner - https://t.co/RfnbpoP5xp #StLouis, MO #Veterans #Hiring #CareerArc",38.646991,-90.224967,0.6000000000000001
Join the TD Bank US team! See our latest #BusinessMgmt #job opening here: https://t.co/rKE9PQ887I #Portsmouth #Hiring #CareerArc,41.5216909,-71.28562190000002,0.5
Go check my mixtape out exclusive release on  #mymixtape #spinrilla #topmixtape out now… https://t.co/61Qu5NYSCC,41.74726897,-87.64414521,0.0
"Can you recommend anyone for this #job? Wholesale Manager - https://t.co/Agb3kAklzS #KansasCity, MO #BusinessMgmt #Hiring #CareerArc",39.1041725,-94.5998517,0.0
My hubby and my darling sister! #brotherandsisterinlaw #sister #lasvegas #ghirardelli #yum… https://t.co/c5oZvFx7OH,36.12248705,-115.17324858,0.0
"I'm at @PenelopeCafe in New York, NY https://t.co/ocTp28iHK4",40.74388129,-73.98162840000002,0.13636363636363635
"I'm at P.J. Whelihan's Pub &amp; Restaurant - @pjs_pub in Sewell, NJ https://t.co/uZ4MzPY6Oo",39.73382511,-75.06494522,0.0
"It's Fri-Yay! It's Payday! 🤑

Time to get these tickets for Memorial Weekend in NYC! 

Memorial… https://t.co/fVWPlmt3A6",40.71388889,-73.95972222,0.0
"Join the Genuine Parts NAPA team! See our latest #Sales #job opening here: https://t.co/skbmAZMv3X #SantaFeSprings, CA #Hiring #CareerArc",33.9548846,-118.0273914,0.5
Just posted a photo @ St Johns Towers https://t.co/J6Hpj9hjyq,41.05006536,-73.53947596,0.0
